Flujo (Origen -> Destino),Frecuencia
ApiGateway -> Lambda,31
Lambda -> DynamoDB,30
DynamoDB -> Lambda,23
Lambda -> S3,23
EC2 -> S3,22
S3 -> Lambda,21
SQS -> Lambda,18
Lambda -> SQS,16
CloudFront -> S3,15
EC2 -> EC2,15
TransitGateway -> TransitGateway,14
Lambda -> ApiGateway,14
EMR -> S3,13
S3 -> SageMaker,13
EC2 -> RDS,13
Lambda -> ThirdParty,13
S3 -> EC2,12
Lambda -> Lambda,12
S3 -> Athena,12
Glue -> S3,11
SageMaker -> S3,11
EC2 -> SQS,11
StepFunctions -> Lambda,11
Lambda -> EC2,11
S3 -> EMR,11
Kinesis -> Lambda,10
S3 -> CloudFront,10
Lambda -> RDS,10
EC2 -> Aurora,10
Athena -> S3,10
UserConsumerWeb -> CloudFront,10
S3 -> S3,9
UserConsumerMobile -> ApiGateway,9
VPC -> TransitGateway,9
TransitGateway -> VPC,9
Lambda -> Kinesis,9
Firehose -> S3,9
ThirdParty -> EC2,9
EKS -> EC2,9
S3 -> Glue,9
EC2 -> ThirdParty,8
EC2 -> Lambda,8
ThirdParty -> S3,8
Lambda -> SageMaker,8
SageMaker -> Lambda,8
SQS -> EC2,8
RDS -> EC2,8
ThirdParty -> Lambda,8
EC2 -> DynamoDB,7
Kinesis -> S3,7
Lambda -> OpenSearch,7
ALB -> ECS,7
S3 -> EKS,7
CloudFront -> UserConsumerWeb,7
Aurora -> EKS,7
ELB -> EC2,7
Lambda -> Aurora,7
Aurora -> Lambda,6
S3 -> ThirdParty,6
DynamoDB -> EC2,6
EC2 -> EKS,6
ThirdParty -> ThirdParty,6
ThirdParty -> DirectConnect,6
CloudWatch -> Lambda,6
ECS -> Lambda,6
RDS -> Lambda,6
ThirdParty -> ApiGateway,6
EKS -> Aurora,6
DirectConnect -> TransitGateway,5
ThirdParty -> TransitGateway,5
UserConsumerWeb -> ThirdParty,5
UserCompanyDeveloper -> ThirdParty,5
ThirdParty -> UserConsumerMobile,5
ECS -> DynamoDB,5
EKS -> ElastiCache,5
UserCompanyAgent -> ThirdParty,5
SQS -> EKS,5
S3 -> ECS,5
CloudFront -> LambdaAtEdge,5
ECS -> ElastiCache,5
Lambda -> ECS,5
SNS -> SQS,5
Lambda -> CloudFront,5
ApiGateway -> UserConsumerMobile,5
ALB -> EC2,5
ELB -> EKS,5
DirectConnect -> ThirdParty,5
S3 -> RedShift,5
EKS -> EKS,5
UserConsumerWeb -> S3,5
ElastiCache -> EKS,5
UserConsumerWeb -> EC2,5
UserConsumerWeb -> ApiGateway,5
AppSync -> Lambda,4
Lambda -> StepFunctions,4
UserConsumerMobile -> EKS,4
EKS -> ThirdParty,4
LambdaAtEdge -> CloudFront,4
LambdaAtEdge -> DynamoDB,4
Lambda -> UserConsumerMobile,4
DynamoDB -> LambdaAtEdge,4
ECS -> S3,4
ElastiCache -> ECS,4
ALB -> EKS,4
ThirdParty -> OpenSearch,4
Lambda -> ElastiCache,4
ThirdParty -> EMR,4
TransitGateway -> DirectConnect,4
TransitGateway -> ThirdParty,4
Aurora -> EC2,4
S3 -> Firehose,4
EKS -> RDS,4
S3 -> SQS,4
ECS -> Aurora,4
Aurora -> ECS,4
EKS -> DynamoDB,4
CloudFormation -> Lambda,4
ThirdParty -> UserCompanyDeveloper,4
UserConsumerMobile -> ALB,4
ECR -> EKS,4
EC2 -> ElastiCache,4
UserConsumerMobile -> Kinesis,4
EKS -> S3,4
UserCompanyAnalyst -> SageMaker,4
EC2 -> EFS,4
SQS -> ECS,4
UserConsumerMobile -> ThirdParty,4
Lambda -> SNS,4
EC2 -> UserConsumerWeb,3
EKS -> SQS,3
UserConsumerWebMobile -> ApiGateway,3
DynamoDB -> EKS,3
UserCompanyDeveloper -> EC2,3
SQS -> Fargate,3
ThirdParty -> RDS,3
Fargate -> RDS,3
DirectConnect -> EC2,3
EventBridge -> StepFunctions,3
ApiGateway -> ECS,3
UserConsumerWeb -> ECS,3
SNS -> Lambda,3
DMS -> S3,3
ThirdParty -> UserConsumerWeb,3
UserCompanyDataStream -> S3,3
SageMaker -> ModelRegistry,3
UserCompanyAnalyst -> Athena,3
Athena -> UserCompanyAnalyst,3
Lambda -> DocumentDB,3
RDS -> Fargate,3
Fargate -> ElastiCache,3
UserConsumerAPI -> ELB,3
Kinesis -> Firehose,3
EKS -> ELB,3
EC2 -> ECS,3
Kinesis -> EC2,3
Fargate -> DynamoDB,3
Connect -> Lambda,3
EC2 -> EBS,3
ALB -> UserConsumerMobile,3
ElastiCache -> EC2,3
DynamoDB -> S3,3
S3 -> UserCompanyAnalyst,3
UserConsumerWeb -> ELB,3
ElastiCache -> ThirdParty,3
EKS -> CloudWatch,3
Lambda -> UserConsumerWeb,3
RDS -> EKS,3
Cognito -> UserConsumerMobile,3
UserConsumerMobile -> CloudFront,3
UserCompanyDeveloper -> ApiGateway,3
UserConsumerWeb -> Route53,3
KMS -> Aurora,3
CloudFront -> Lambda,3
EventBridge -> Lambda,3
UserConsumerMobile -> Cognito,3
ElastiCache -> Fargate,3
ElastiCache -> Lambda,3
ApiGateway -> UserConsumerWeb,3
SageMaker -> Aurora,3
S3 -> QuickSight,3
RDS -> ThirdParty,3
StepFunctions -> DynamoDB,3
Route53 -> ALB,3
ECS -> ALB,3
S3 -> StepFunctions,3
ECS -> SQS,2
Lambda -> CloudFormation,2
DynamoDB -> ApiGateway,2
UserCompanyDeveloper -> ALB,2
UserCompanyWebsite -> ECS,2
ApiGateway -> UserConsumerWebMobile,2
S3 -> UserConsumerWeb,2
EKS -> CloudFront,2
ApiGateway -> UserCompanyDeveloper,2
UserConsumerAPI -> ApiGateway,2
ApiGateway -> UserConsumerAPI,2
Aurora -> KMS,2
UserConsumerWebMobile -> CloudFront,2
ECS -> UserCompanyWebsite,2
UserConsumerPOS -> ThirdParty,2
EMR -> RedShift,2
Glue -> DynamoDB,2
Glue -> RedShift,2
KMS -> EBS,2
EC2 -> UserCompanyDeveloper,2
Lambda -> MongoDBAtlas,2
ECS -> RDS,2
Route53 -> CloudFront,2
CloudFront -> Route53,2
UserCompanyDataStream -> Glue,2
UserConsumerMobile -> DynamoDB,2
CloudFront -> UserCompanyAgent,2
UserCompanyAgent -> LambdaAtEdge,2
Fargate -> OpenSearch,2
OpenSearch -> Lambda,2
EKS -> SNS,2
Athena -> SageMaker,2
S3 -> Aurora,2
ECS -> UserConsumerAPI,2
ECS -> ThirdParty,2
Fargate -> S3,2
ECS -> ApiGateway,2
UserConsumerMobile -> Chime,2
ECS -> UserConsumerWeb,2
Chime -> UserConsumerMobile,2
FSX -> ThirdParty,2
Batch -> FSX,2
UserConsumerWeb -> Fargate,2
KMS -> S3,2
UserCompanyDataStream -> ELB,2
ELB -> WAF,2
ThirdParty -> ECS,2
UserCompanyDataStream -> Kinesis,2
DocumentDB -> Lambda,2
Lambda -> Athena,2
UserConsumerAPI -> ECS,2
UserConsumerAPI -> ThirdParty,2
Aurora -> SageMaker,2
CloudFormation -> IAM,2
StorageGateway -> S3,2
CodeBuild -> ECR,2
EC2 -> Fargate,2
Fargate -> EC2,2
NLB -> ThirdParty,2
ThirdParty -> NLB,2
ThirdParty -> ElastiCache,2
EKS -> UserConsumerWeb,2
Lambda -> CloudWatch,2
Greengrass -> IoTCore,2
UserConsumerWeb -> RedShift,2
Kinesis -> UserConsumerWeb,2
CloudFront -> UserConsumerMobile,2
S3 -> Kinesis,2
UserConsumerEdge -> Greengrass,2
EKS -> SageMaker,2
UserCompanyAgent -> EKS,2
UserConsumerEdge -> ApiGateway,2
EC2 -> Cognito,2
ThirdParty -> DMS,2
IAM -> SageMaker,2
SageMaker -> IAM,2
Lambda -> Organizations,2
UserConsumerAPI -> S3,2
EC2 -> ELB,2
Lambda -> Firehose,2
ELB -> UserConsumerWeb,2
ELB -> UserConsumerAPI,2
RedShift -> S3,2
CloudWatch -> EC2,2
UserConsumerMobile -> Connect,2
UserCompanyDataStream -> Lambda,2
UserCompanyAnalyst -> CloudFront,2
RedShift -> QuickSight,2
QuickSight -> RedShift,2
UserCompanyEdge -> Lambda,2
EC2 -> DirectConnect,2
ThirdParty -> SageMaker,2
Lambda -> AppSync,2
ECS -> EC2,2
StepFunctions -> EventBridge,2
S3 -> UserConsumerAPI,2
ModelRegistry -> SageMaker,2
Cognito -> ThirdParty,2
ApiGateway -> DynamoDB,2
QuickSight -> Athena,2
S3 -> ApiGateway,2
S3 -> ServiceCatalog,2
DynamoDB -> Fargate,2
Fargate -> UserConsumerWeb,2
CloudFront -> ApiGateway,2
S3 -> MSK,2
UserCompanyDataStream -> EC2,2
IoTCore -> Lambda,2
SNS -> UserCompanyAgent,2
EC2 -> FSX,2
ThirdParty -> ALB,2
SQS -> S3,2
ECR -> CodePipeline,2
ApiGateway -> ELB,2
CodePipeline -> ECR,2
Aurora -> OpenSearch,2
EC2 -> ALB,2
EC2 -> Kinesis,2
ThirdParty -> UserCompanyAgent,2
Connect -> ThirdParty,2
Lex -> UserConsumerMobile,2
S3 -> SNS,2
Transcribe -> Comprehend,2
RDS -> Glue,2
SES -> EKS,2
SageMaker -> RedShift,2
CloudFront -> ELB,2
UserCompanyDeveloper -> ECR,2
ThirdParty -> EKS,2
ECS -> Kinesis,2
EMR -> ThirdParty,2
EKS -> SES,2
DynamoDB -> AppSync,2
Lambda -> Connect,2
ThirdParty -> ELB,2
ELB -> ThirdParty,2
ECR -> CodeBuild,2
Lambda -> SystemsManager,2
CloudFront -> EC2,2
EKS -> UserConsumerMobile,2
Athena -> Glue,2
Fargate -> MemoryDB,2
Grafana -> Timestream,1
CloudFront -> UserConsumerWebMobile,1
Lambda -> UserConsumerWebMobile,1
UserConsumerAPI -> KMS,1
KMS -> UserConsumerAPI,1
ApiGateway -> EC2,1
ApiGateway -> EKS,1
Fargate -> ECS,1
Fargate -> EKS,1
EC2 -> ApiGateway,1
ECS -> Fargate,1
EKS -> Fargate,1
Fargate -> CloudWatch,1
ALB -> Fargate,1
ALB -> WAF,1
ALB -> CloudWatch,1
MemoryDB -> Fargate,1
WAF -> ALB,1
WAF -> UserConsumerWeb,1
UserConsumerMobile -> WAF,1
EKS -> NAT,1
EC2 -> NAT,1
PrivateLink -> TransitGateway,1
VPN -> TransitGateway,1
NAT -> TransitGateway,1
OnPremDC -> UserConsumerTV,1
VPN -> Fargate,1
Fargate -> ALB,1
CloudWatch -> StepFunctions,1
S3 -> StorageGateway,1
StorageGateway -> ThirdParty,1
UserCompanyAgent -> AppSync,1
DynamoDB -> Kinesis,1
SageMaker -> EKS,1
StepFunctions -> MediaConvert,1
Glue -> ThirdParty,1
LambdaAtEdge -> Route53,1
Kinesis -> ECS,1
UserConsumerEdge -> Kinesis,1
StepFunctions -> WorkSpaces,1
ThirdParty -> Cognito,1
UserConsumerMobile -> SQS,1
UserCompanyDrone -> ThirdParty,1
ThirdParty -> StorageGateway,1
UserConsumerDeveloper -> ThirdParty,1
RedShift -> DynamoDB,1
ThirdParty -> ControlTower,1
ControlTower -> ThirdParty,1
ServiceCatalog -> VPC,1
UserCompanyAnalyst -> ECR,1
ECR -> SageMaker,1
UserCompanyDataStream -> KinesisDataStream,1
EC2 -> UserCompanyCRM,1
EBS -> EC2,1
ECR -> EC2,1
UserCompanyCRM -> NLB,1
ApiGateway -> StepFunctions,1
StepFunctions -> ControlTower,1
StepFunctions -> StepFunctions,1
StepFunctions -> SES,1
AppStream -> RDS,1
AppStream -> EC2,1
FSX -> AppStream,1
RDS -> AppStream,1
SystemsManager -> EC2,1
AutoScaling -> CloudWatch,1
OpenSearch -> SNS,1
NLB -> EKS,1
UserConsumerWeb -> CloudFormation,1
CloudFormation -> AppStream,1
CloudFormation -> FSX,1
CloudFormation -> RDS,1
EC2 -> AppStream,1
EC2 -> CloudFormation,1
AppStream -> UserConsumerWeb,1
AppStream -> FSX,1
ThirdParty -> MSK,1
MSK -> S3,1
EMR -> RDS,1
EMR -> UserConsumerWeb,1
UserConsumerMobile -> Route53,1
Route53 -> ELB,1
Route53 -> UserConsumerMobile,1
ELB -> Route53,1
Transcribe -> S3,1
Comprehend -> Transcribe,1
Firehose -> Connect,1
AppSync -> UserCompanyDomainExpert,1
AppSync -> UserConsumerMobile,1
AppSync -> UserConsumerArtist,1
UserConsumerMobile -> EC2,1
UserConsumerWeb -> EMR,1
OpenSearch -> CloudWatch,1
CloudWatch -> ThirdParty,1
UserConsumerWeb -> Connect,1
Connect -> UserConsumerWeb,1
Connect -> S3,1
Connect -> Firehose,1
S3 -> Connect,1
S3 -> Transcribe,1
KinesisDataStream -> Neptune,1
KinesisDataStream -> KinesisDataStream,1
KinesisDataStream -> DynamoDB,1
KinesisDataStream -> ThirdParty,1
Neptune -> OpenSearch,1
Neptune -> DynamoDB,1
Neptune -> CloudWatch,1
Neptune -> KinesisDataStream,1
Connect -> UserCompanyCRM,1
UserCompanyCRM -> UserCompanyAgent,1
UserCompanyCRM -> RDS,1
EKS -> ECR,1
UserConsumerTV -> Kinesis,1
Kinesis -> UserConsumerTV,1
Firehose -> RedShift,1
RedShift -> Firehose,1
DirectConnect -> S3,1
EC2 -> RedShift,1
RedShift -> EC2,1
UserCompanyDataStream -> StorageGateway,1
StorageGateway -> DirectConnect,1
UserConsumerAPI -> Lambda,1
Firehose -> ELB,1
DynamoDB -> UserCompanyCRM,1
UserConsumerHospital -> StorageGateway,1
EC2 -> ECR,1
FSX -> EKS,1
Lambda -> ALB,1
EKS -> CloudHSM,1
CloudWatch -> EKS,1
CloudHSM -> EKS,1
WAF -> ELB,1
Glue -> RDS,1
AmazonMQ -> EC2,1
EC2 -> AmazonMQ,1
EC2 -> VPCPeering,1
VPCPeering -> MongoDBAtlas,1
Firehose -> Kinesis,1
Firehose -> Glue,1
Glue -> Firehose,1
ELB -> ECS,1
UserCompanyAgent -> Amplify,1
Amplify -> AppSync,1
Amplify -> UserCompanyAgent,1
AppSync -> Amplify,1
CloudWatch -> S3,1
S3 -> CloudWatch,1
UserConsumerMobile -> SageMaker,1
MediaStore -> MediaLive,1
MediaStore -> S3,1
S3 -> Rekognition,1
MediaLive -> MediaPackage,1
MediaPackage -> CloudFront,1
MediaPackage -> Transcribe,1
Rekognition -> S3,1
ThirdParty -> UserCompanyDataStream,1
SAP -> EC2,1
SAP -> CloudWatch,1
Lambda -> PrivateLink,1
TransitGateway -> EKS,1
EKS -> PrivateLink,1
PrivateLink -> PrivateLink,1
PrivateLink -> SNS,1
UserCompanyDataStream -> MediaStore,1
DynamoDB -> ECS,1
StepFunctions -> EC2,1
UserCompanyAnalyst -> StepFunctions,1
Kinesis -> KinesisDataStream,1
KinesisDataStream -> Kinesis,1
CloudWatch -> SNS,1
SystemsManager -> SAP,1
EC2 -> SAP,1
SageMaker -> ECR,1
Lambda -> IoTCore,1
ThirdParty -> IoTCore,1
IoTCore -> IoTAnalytics,1
IoTCore -> Kinesis,1
Kinesis -> Kinesis,1
IoTAnalytics -> QuickSight,1
IoTAnalytics -> UserConsumerWeb,1
KinesisAnalytics -> Kinesis,1
ApiGateway -> UserCompanyAPI,1
UserCompanyAPI -> ApiGateway,1
Greengrass -> ApiGateway,1
Greengrass -> UserConsumerMobile,1
Timestream -> Lambda,1
RedShift -> EKS,1
EKS -> RedShift,1
Textract -> StepFunctions,1
UserCompanyAPI -> Lambda,1
EMR -> EC2,1
EKS -> VPC,1
VPC -> EKS,1
S3 -> UserConsumerEdge,1
UserConsumerEdge -> S3,1
Kinesis -> KinesisAnalytics,1
UserCompanyAnalyst -> ModelRegistry,1
ModelRegistry -> ThirdParty,1
SageMaker -> UserConsumerMobile,1
UserConsumerMobile -> Greengrass,1
UserConsumerAPI -> EventBridge,1
Lambda -> Textract,1
SageMaker -> StepFunctions,1
EventBridge -> UserConsumerAPI,1
UserConsumerMobile -> Lambda,1
UserCompanyDeveloper -> Route53,1
KMS -> DynamoDB,1
KMS -> SecretsManager,1
UserConsumerAPI -> UserCompanyDataStream,1
ELB -> ShieldAdvanced,1
EC2 -> PrivateLink,1
PrivateLink -> Kinesis,1
ApiGateway -> S3,1
ECS -> SageMaker,1
SageMaker -> UserCompanyAnalyst,1
EC2 -> S2SVPN,1
ControlTower -> Organizations,1
DynamoDB -> UserConsumerMobile,1
S3 -> UserConsumerMobile,1
UserConsumerMobile -> S3,1
EKS -> AutoScaling,1
S3 -> Cognito,1
ServiceCatalog -> EC2,1
ServiceCatalog -> SageMaker,1
Lambda -> Translate,1
Lambda -> Comprehend,1
EKS -> UserCompanyAgent,1
FSX -> SageMaker,1
UserConsumerSatellite -> S3,1
UserConsumerMobile -> Aurora,1
UserCompanyDataStream -> Firehose,1
BeanStalk -> Aurora,1
Firehose -> UserCompanyDataStream,1
CloudFront -> BeanStalk,1
UserConsumerMobile -> Fargate,1
Fargate -> UserConsumerMobile,1
ALB -> ApiGateway,1
CloudFormation -> IoTCore,1
CloudFormation -> DynamoDB,1
Cognito -> UserConsumerWebMobile,1
IoTCore -> DynamoDB,1
IoTCore -> UserConsumerWebMobile,1
Organizations -> Lambda,1
S3 -> Fargate,1
Fargate -> Aurora,1
Fargate -> EMR,1
Aurora -> EMR,1
EMR -> Aurora,1
EMR -> EventBridge,1
EventBridge -> SQS,1
ThirdParty -> Fargate,1
ApiGateway -> ALB,1
ThirdParty -> FSX,1
UserConsumerWebMobile -> Cognito,1
UserConsumerWebMobile -> IoTCore,1
CloudFormation -> Cognito,1
CloudFormation -> ApiGateway,1
OpenSearch -> Fargate,1
DocumentDB -> Fargate,1
Kinesis -> Fargate,1
Kinesis -> ThirdParty,1
DynamoDB -> ThirdParty,1
ThirdParty -> DynamoDB,1
ThirdParty -> Kinesis,1
Batch -> EC2,1
Batch -> EventBridge,1
Batch -> Lambda,1
FSX -> EC2,1
EC2 -> KMS,1
KMS -> EC2,1
SQS -> UserCompanyAgent,1
EC2 -> UserCompanyAPI,1
ThirdParty -> KMS,1
ApiGateway -> Pinpoint,1
ApiGateway -> SQS,1
Lambda -> EventBridge,1
UserConsumerWeb -> EFS,1
UserConsumerWeb -> DynamoDB,1
EFS -> UserConsumerWeb,1
EFS -> Glue,1
DynamoDB -> Glue,1
RedShift -> Glue,1
Glue -> EFS,1
UserCompanyAgent -> SQS,1
UserConsumerPOS -> UserConsumerMobile,1
UserConsumerMobile -> UserConsumerPOS,1
ThirdParty -> UserConsumerPOS,1
DMS -> ThirdParty,1
S3 -> DMS,1
EC2 -> SageMaker,1
EC2 -> UserConsumerMobile,1
SageMaker -> EC2,1
UserConsumerSatellite -> EC2,1
UserConsumerWeb -> Lambda,1
ApiGateway -> Neptune,1
StepFunctions -> S3,1
StepFunctions -> Neptune,1
Neptune -> ApiGateway,1
ECS -> GlobalAccelerator,1
GlobalAccelerator -> EC2,1
S3 -> LambdaAtEdge,1
EC2 -> MSK,1
MSK -> Fargate,1
MSK -> Lambda,1
MSK -> UserCompanyCRM,1
Fargate -> MSK,1
UserConsumerAPI -> Kinesis,1
UserConsumerAPI -> DMS,1
Lambda -> Route53,1
Fargate -> DocumentDB,1
Fargate -> CloudFront,1
EC2 -> VPC,1
EC2 -> EMR,1
VPC -> ThirdParty,1
UserCompanyAnalyst -> S3,1
ECS -> ECR,1
VPN -> QuickSight,1
ThirdParty -> VPN,1
AppDiscovery -> EC2,1
EC2 -> AppDiscovery,1
UserCompanyAgent -> DynamoDB,1
ThirdParty -> AppDiscovery,1
Route53 -> ApiGateway,1
Route53 -> Fargate,1
Pinpoint -> ApiGateway,1
S3 -> ALB,1
CloudTrail -> VPC,1
Aurora -> TransitGateway,1
TransitGateway -> QuickSight,1
ControlTower -> QuickSight,1
ControlTower -> VPN,1
QuickSight -> UserCompanyAnalyst,1
WAF -> Firehose,1
CloudFront -> WAF,1
LambdaAtEdge -> Firehose,1
QuickSight -> LambdaAtEdge,1
Athena -> QuickSight,1
UserCompanyDeveloper -> CodePipeline,1
CodePipeline -> UserCompanyDeveloper,1
CodePipeline -> CodeBuild,1
Lambda -> RedShift,1
UserCompanyDataStream -> SQS,1
EMR -> Lambda,1
Lambda -> UserCompanyAnalyst,1
Lambda -> EMR,1
LambdaAtEdge -> ApiGateway,1
LambdaAtEdge -> ThirdParty,1
Kinesis -> UserCompanyDataStream,1
EMR -> EKS,1
Glue -> EKS,1
ServiceCatalog -> CloudFormation,1
RedShift -> SageMaker,1
S3 -> CodeBuild,1
S3 -> CodePipeline,1
CodeBuild -> S3,1
CodePipeline -> CloudFormation,1
StepFunctions -> EMR,1
EMR -> StepFunctions,1
Athena -> RedShift,1
SageMaker -> Athena,1
EKS -> EMR,1
EKS -> Glue,1
EKS -> IAM,1
IAM -> EKS,1
Lex -> SNS,1
SNS -> Lex,1
Comprehend -> Lex,1
ThirdParty -> Lex,1
OpenSearch -> Lex,1
UserConsumerMobile -> Lex,1
S3 -> EventBridge,1
EventBridge -> S3,1
IoTCore -> ThirdParty,1
UserConsumerAlexaGoogleHome -> Lex,1
DynamoDB -> Lex,1
Lex -> DynamoDB,1
Lex -> UserConsumerAlexaGoogleHome,1
Lex -> ThirdParty,1
Lex -> OpenSearch,1
Lex -> Comprehend,1
UserCompanyAnalyst -> RedShift,1
EC2 -> Glue,1
EC2 -> UserCompanyDataStream,1
Glue -> EC2,1
RDS -> RedShift,1
RedShift -> RDS,1
RedShift -> UserCompanyAnalyst,1
ALB -> UserCompanyDeveloper,1
CodePipeline -> SNS,1
CodePipeline -> Lambda,1
CodeBuild -> CodePipeline,1
Lambda -> CodePipeline,1
ELB -> ApiGateway,1
EKS -> MSK,1
MSK -> EKS,1
OpenSearch -> Aurora,1
DevTools -> Lambda,1
UserCompanyDeveloper -> DevTools,1
UserConsumerAPI -> NLB,1
Lambda -> NLB,1
StepFunctions -> Rekognition,1
StepFunctions -> Transcribe,1
MediaConvert -> StepFunctions,1
Rekognition -> DynamoDB,1
Connect -> DevTools,1
Lex -> Connect,1
Lex -> DevTools,1
Lambda -> DevTools,1
DynamoDB -> DevTools,1
DevTools -> Connect,1
DevTools -> Lex,1
DevTools -> DynamoDB,1
Lambda -> UserCompanyAPI,1
SageMaker -> RoboMaker,1
SageMaker -> CloudWatch,1
RoboMaker -> SageMaker,1
RoboMaker -> Kinesis,1
RoboMaker -> CloudWatch,1
UserConsumerWeb -> SageMaker,1
Connect -> Lex,1
SNS -> S3,1
S3 -> UserCompanyDataStream,1
RedShift -> EMR,1
RedShift -> Aurora,1
ThirdParty -> Aurora,1
ThirdParty -> Connect,1
Aurora -> RedShift,1
Aurora -> ThirdParty,1
KMS -> IAM,1
Lambda -> IAM,1
S3 -> LakeFormation,1
LakeFormation -> Glue,1
LakeFormation -> SageMaker,1
Glue -> LakeFormation,1
Athena -> UserCompanyAgent,1
Athena -> UserConsumerMobile,1
EBS -> IAM,1
EBS -> EventBridge,1
EBS -> SQS,1
EBS -> KMS,1
EBS -> S3,1
IAM -> IAM,1
IAM -> EBS,1
EventBridge -> EBS,1
SQS -> ThirdParty,1
CloudTrail -> ThirdParty,1
GuardDuty -> ThirdParty,1
EC2 -> WAF,1
EC2 -> UserCompanyAnalyst,1
UserCompanyAnalyst -> EC2,1
NLB -> UserConsumerAPI,1
NLB -> Lambda,1
Transcribe -> DynamoDB,1
Comprehend -> DynamoDB,1
DynamoDB -> Transcribe,1
Lambda -> UserCompanyInternalPlatform,1
OnPremDC -> ThirdParty,1
Athena -> ThirdParty,1
WAF -> EC2,1
SNS -> ThirdParty,1
Route53 -> UserConsumerWeb,1
ApiGateway -> Fargate,1
CloudFront -> UserCompanyAnalyst,1
CodePipeline -> EventBridge,1
SystemsManager -> EventBridge,1
Lambda -> Timestream,1
Timestream -> Grafana,1
EKS -> ApiGateway,1
TransitGateway -> S3,1
UserCompanyDeveloper -> ControlTower,1
Route53 -> NLB,1
NLB -> EC2,1
Fargate -> ThirdParty,1
OpenSearch -> ThirdParty,1
StepFunctions -> SNS,1
Glue -> Athena,1
UserConsumerWeb -> EKS,1
UserConsumerWeb -> AppSync,1
StepFunctions -> AppSync,1
AppSync -> UserConsumerWeb,1
AppSync -> StepFunctions,1
RDS -> ControlTower,1
ECR -> ControlTower,1
EKS -> TransitGateway,1
UserConsumerTV -> WAF,1
UserConsumerWeb -> WAF,1
UserCompanyDeveloper -> VPN,1
CloudWatch -> Firehose,1
SQS -> Glue,1
Macie -> S3,1
S3 -> Macie,1
QuickSight -> S3,1
ECR -> CloudFormation,1
VPC -> CloudFormation,1
Route53 -> WAF,1
WAF -> CloudFront,1
EKS -> OpenSearch,1
OpenSearch -> EKS,1
EFS -> EC2,1
UserConsumerWeb -> AppStream,1
ControlTower -> S3,1
S3 -> ControlTower,1
UserCompanyDeveloper -> CodeCommit,1
CodeCommit -> UserCompanyDeveloper,1
CodeCommit -> CodeBuild,1
CodeBuild -> CodeCommit,1
CloudFormation -> ECR,1
CloudFormation -> VPC,1
AppSync -> ThirdParty,1
ThirdParty -> AppSync,1
ThirdParty -> UserConsumerAPI,1
UserCompanyDeveloper -> S3,1
Lambda -> ECR,1
ECR -> Lambda,1
ControlTower -> ECR,1
ControlTower -> RDS,1
S3 -> SES,1
IAM -> CloudTrail,1
IAM -> CloudFormation,1
CloudTrail -> EventBridge,1
CloudTrail -> IAM,1
EventBridge -> CloudTrail,1
CloudFormation -> ThirdParty,1
ThirdParty -> CloudFormation,1
