Etiqueta_Asignada,Texto_Original_del_Humano
ThirdParty,Name: 'Legacy On-premise System' | Notes: 'NAME: Legacy On-premise System'
ThirdParty,Name: 'Snowflake' | Notes: 'NAME: Snowflake'
ThirdParty,Name: 'Multiple Data Sources' | Notes: 'NAME: Multiple Data Sources'
ThirdParty,Name: 'Arango DB' | Notes: 'NAME: Arango DB'
ThirdParty,Name: 'Scheduler where tasks are managed by customer' | Notes: 'NAME: Scheduler where tasks are managed by customer'
ThirdParty,Name: 'Systems Manager (invokes a lot of lambdas)' | Notes: 'NAME: Systems Manager (invokes a lot of lambdas)'
ThirdParty,"Name: 'Neo4j, corelation engine' | Notes: 'NAME: Neo4j, corelation engine'"
ThirdParty,Name: 'SAP' | Notes: 'NAME: SAP'
ThirdParty,Name: 'Okta' | Notes: 'NAME: Okta'
ThirdParty,"Name: 'unspecified AWS database services' | Notes: 'NOTES: database to cache videos metadata
NAME: unspecified AWS database services'"
ThirdParty,Name: 'Shard Service' | Notes: 'NAME: Shard Service'
ThirdParty,Name: 'inhouse serverless tool.' | Notes: 'NAME: inhouse serverless tool.'
ThirdParty,Name: 'CMS' | Notes: 'NAME: CMS'
ThirdParty,Name: 'DB to store POS data' | Notes: 'NAME: DB to store POS data'
ThirdParty,Name: 'NGINX' | Notes: 'NAME: NGINX'
ThirdParty,Name: 'GreenGrass' | Notes: 'NAME: GreenGrass'
ThirdParty,Name: 'Flink' | Notes: 'NAME: Flink'
ThirdParty,Name: 'OpenId Authentication' | Notes: 'NAME: OpenId Authentication'
ThirdParty,"Name: 'various data sources, social media, web crawling' | Notes: 'NAME: various data sources, social media, web crawling'"
ThirdParty,Name: 'Glacier' | Notes: 'NAME: Glacier'
ThirdParty,Name: 'Imagery process (into three files per well pad)' | Notes: 'NAME: Imagery process (into three files per well pad)'
ThirdParty,Name: 'MySQL' | Notes: 'NAME: MySQL'
ThirdParty,Name: 'Non Production Environment' | Notes: 'NAME: Non Production Environment'
ThirdParty,Name: 'fluendbit' | Notes: 'NAME: fluendbit'
ThirdParty,Name: 'DB to store Ecomm data' | Notes: 'NAME: DB to store Ecomm data'
ThirdParty,Name: 'On-premise data center' | Notes: 'NAME: On-premise data center'
ThirdParty,Name: 'AmazonManagedBlockchain' | Notes: 'NAME: AmazonManagedBlockchain'
ThirdParty,Name: 'company data' | Notes: 'NAME: company data'
ThirdParty,Name: 'Dashboard' | Notes: 'NAME: Dashboard'
ThirdParty,Name: 'Salesforce' | Notes: 'NAME: Salesforce'
ThirdParty,Name: 'BitBucket' | Notes: 'NAME: BitBucket'
ThirdParty,Name: 'Mongodb' | Notes: 'NAME: Mongodb'
ThirdParty,Name: 'Kafka' | Notes: 'NAME: Kafka'
ThirdParty,Name: 'Third-party DBs' | Notes: 'NAME: Third-party DBs'
ThirdParty,Name: 'Salesforce DC' | Notes: 'NAME: Salesforce DC'
ThirdParty,Name: 'Slack' | Notes: 'NAME: Slack'
ThirdParty,Name: 'source db' | Notes: 'NAME: source db'
ThirdParty,Name: 'Intranet(Web application to see the error details)' | Notes: 'NAME: Intranet(Web application to see the error details)'
ThirdParty,Name: 'Git' | Notes: 'NAME: Git'
ThirdParty,Name: 'Proxy' | Notes: 'NAME: Proxy'
ThirdParty,Name: 'On Premise Infra' | Notes: 'NAME: On Premise Infra'
ThirdParty,Name: 'InventoryAPI' | Notes: 'NAME: InventoryAPI'
ThirdParty,Name: 'Legacy API' | Notes: 'NAME: Legacy API'
ThirdParty,Name: 'Elastic Search & Neo4J' | Notes: 'NAME: Elastic Search & Neo4J'
ThirdParty,"Name: 'Slack, email, splunk' | Notes: 'NAME: Slack, email, splunk'"
ThirdParty,Name: 'SQL Server' | Notes: 'NAME: SQL Server'
ThirdParty,Name: 'vendor/partners' | Notes: 'NAME: vendor/partners'
ThirdParty,Name: 'SearchAPI (Fetch related products)' | Notes: 'NAME: SearchAPI (Fetch related products)'
ThirdParty,"Name: 'on-premises database & server' | Notes: 'NOTES: the database storing raster proxies; the server handles user queries. the server cannot directly imagery data read from S3 without raster proxies
NAME: on-premises database & server'"
ThirdParty,Name: 'User' | Notes: 'NAME: User'
ThirdParty,Name: 'Git server' | Notes: 'NAME: Git server'
ThirdParty,Name: 'proprietary metadata engine' | Notes: 'NAME: proprietary metadata engine'
ThirdParty,Name: 'unspecified datalake implementation' | Notes: 'NAME: unspecified datalake implementation'
ThirdParty,Name: 'IT Service Management Tool' | Notes: 'NAME: IT Service Management Tool'
ThirdParty,Name: 'Novetiq backend' | Notes: 'NAME: Novetiq backend'
ThirdParty,Name: 'CDN' | Notes: 'NAME: CDN'
ThirdParty,Name: 'SAML Identity Provider' | Notes: 'NAME: SAML Identity Provider'
ThirdParty,Name: 'Logstash' | Notes: 'NAME: Logstash'
ThirdParty,"Name: 'Terraform' | Notes: 'NOTES: Only mention use Terraform to keep agile development, but not closed related to the exact services flow.
NAME: Terraform'"
ThirdParty,Name: 'Thales' | Notes: 'NAME: Thales'
ThirdParty,Name: 'on-premises softwares' | Notes: 'NAME: on-premises softwares'
ThirdParty,Name: 'Sanofi SSO' | Notes: 'NAME: Sanofi SSO'
ThirdParty,Name: 'Vertica' | Notes: 'NAME: Vertica'
ThirdParty,Name: 'External Data' | Notes: 'NAME: External Data'
ThirdParty,Name: 'custom built ingestion adapter' | Notes: 'NAME: custom built ingestion adapter'
ThirdParty,Name: 'Apache Metron' | Notes: 'NAME: Apache Metron'
ThirdParty,Name: 'SES - Notification and Messaging service' | Notes: 'NAME: SES - Notification and Messaging service'
ThirdParty,Name: 'other services' | Notes: 'NAME: other services'
ThirdParty,Name: 'Digital Ledger' | Notes: 'NAME: Digital Ledger'
ThirdParty,Name: 'Innovacer Apps deployed on EC2' | Notes: 'NAME: Innovacer Apps deployed on EC2'
ThirdParty,Name: 'N3 Network (NHS)' | Notes: 'NAME: N3 Network (NHS)'
ThirdParty,Name: 'UBIQSens' | Notes: 'NAME: UBIQSens'
ThirdParty,Name: 'CloudEndure' | Notes: 'NAME: CloudEndure'
ThirdParty,Name: 'SearchAPI (User Facing)' | Notes: 'NAME: SearchAPI (User Facing)'
ThirdParty,Name: 'SnowFlake' | Notes: 'NAME: SnowFlake'
ThirdParty,Name: 'Production Environment' | Notes: 'NAME: Production Environment'
ThirdParty,Name: 'DataLake' | Notes: 'NAME: DataLake'
ThirdParty,Name: 'SalesForce' | Notes: 'NAME: SalesForce'
ThirdParty,Name: 'ServiceNow' | Notes: 'NAME: ServiceNow'
ThirdParty,Name: 'Legacy Monolithic Application' | Notes: 'NAME: Legacy Monolithic Application'
